name,ideology,ideology_icon,city,state,is_statewide,is_headquarters,group,latitude,longitude,ideology_link,group_link,latitude_longitude_appended
New Black Panther Party for Self Defense,Black Separatist,black-separatist,New Haven,Connecticut,FALSE,FALSE,,41.3,-72.92,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"41.3, -72.92"
Nation of Islam,Black Separatist,black-separatist,Wilmington,Delaware,FALSE,FALSE,Nation of Islam,39.760071,-75.533492,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"39.760071, -75.533492"
National Socialist Movement,Neo-Nazi,neo-nazi,,Delaware,TRUE,FALSE,National Socialist Movement,39.15,-75.52,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,https://www.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement,"39.15, -75.52"
East Coast Knights Of The True Invisible Empire,Ku Klux Klan,kkk,Nassau,Delaware,FALSE,FALSE,,38.75,-75.18,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"38.75, -75.18"
ACT for America,Anti-Muslim,anti-muslim,Bear,Delaware,FALSE,FALSE,,39.62,-75.65,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"39.62, -75.65"
Nation of Islam,Black Separatist,black-separatist,Washington,District of Columbia,FALSE,FALSE,Nation of Islam,38.869829,-76.960766,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"38.869829, -76.960766"
Federation for American Immigration Reform,Anti-Immigrant,anti-immigrant,Washington,District of Columbia,FALSE,TRUE,Federation for American Immigration Reform,38.9163,-77.0452,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-immigrant,https://www.splcenter.org/fighting-hate/extremist-files/group/federation-american-immigration-reform,"38.9163, -77.0452"
New Black Panther Party,Black Separatist,black-separatist,Washington,District of Columbia,FALSE,FALSE,New Black Panther Party,38.956829,-77.013344,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party,"38.956829, -77.013344"
American Free Press,General Hate,other,Washington,District of Columbia,FALSE,TRUE,,38.884552,-76.996886,https://www.splcenter.org/fighting-hate/extremist-files/ideology/general-hate,,"38.884552, -76.996886"
Traditional Values Coalition,Anti-LGBT,anti-lgbt,Washington,District of Columbia,FALSE,TRUE,Traditional Values Coalition,38.883137,-76.990227,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,https://www.splcenter.org/fighting-hate/extremist-files/group/traditional-values-coalition,"38.883137, -76.990227"
"Israelite Church of God in Jesus Christ, The",Black Separatist,black-separatist,Washington,District of Columbia,FALSE,FALSE,,38.9,-77.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"38.9, -77.03"
Scott-Townsend Publishers,White Nationalist,white-nationalist,Washington,District of Columbia,FALSE,TRUE,,38.9,-77.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"38.9, -77.03"
Family Research Council,Anti-LGBT,anti-lgbt,Washington,District of Columbia,FALSE,TRUE,Family Research Council,38.912068,-77.019022,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,https://www.splcenter.org/fighting-hate/extremist-files/group/family-research-council,"38.912068, -77.019022"
As-Sabiqun,General Hate,other,Washington,District of Columbia,FALSE,TRUE,,38.9,-77.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/general-hate,,"38.9, -77.03"
